var_idx,layer,axis,fixed_index,segment_id,forward_count,reverse_count,forward_edges,reverse_edges
78,4,x,6,0,5,5,"[('L4_X6_Y1', 'L4_X6_Y2'), ('L4_X6_Y2', 'L4_X6_Y3'), ('L4_X6_Y3', 'L4_X6_Y4'), ('L4_X6_Y4', 'L4_X6_Y5'), ('L4_X6_Y5', 'L4_X6_Y6')]","[('L4_X6_Y2', 'L4_X6_Y1'), ('L4_X6_Y3', 'L4_X6_Y2'), ('L4_X6_Y4', 'L4_X6_Y3'), ('L4_X6_Y5', 'L4_X6_Y4'), ('L4_X6_Y6', 'L4_X6_Y5')]"
79,4,x,7,0,5,5,"[('L4_X7_Y0', 'L4_X7_Y1'), ('L4_X7_Y1', 'L4_X7_Y2'), ('L4_X7_Y2', 'L4_X7_Y3'), ('L4_X7_Y3', 'L4_X7_Y4'), ('L4_X7_Y4', 'L4_X7_Y5')]","[('L4_X7_Y1', 'L4_X7_Y0'), ('L4_X7_Y2', 'L4_X7_Y1'), ('L4_X7_Y3', 'L4_X7_Y2'), ('L4_X7_Y4', 'L4_X7_Y3'), ('L4_X7_Y5', 'L4_X7_Y4')]"
80,4,x,8,0,6,6,"[('L4_X8_Y0', 'L4_X8_Y1'), ('L4_X8_Y1', 'L4_X8_Y2'), ('L4_X8_Y2', 'L4_X8_Y3'), ('L4_X8_Y3', 'L4_X8_Y4'), ('L4_X8_Y4', 'L4_X8_Y5'), ('L4_X8_Y5', 'L4_X8_Y6')]","[('L4_X8_Y1', 'L4_X8_Y0'), ('L4_X8_Y2', 'L4_X8_Y1'), ('L4_X8_Y3', 'L4_X8_Y2'), ('L4_X8_Y4', 'L4_X8_Y3'), ('L4_X8_Y5', 'L4_X8_Y4'), ('L4_X8_Y6', 'L4_X8_Y5')]"
81,4,x,9,0,6,6,"[('L4_X9_Y0', 'L4_X9_Y1'), ('L4_X9_Y1', 'L4_X9_Y2'), ('L4_X9_Y2', 'L4_X9_Y3'), ('L4_X9_Y3', 'L4_X9_Y4'), ('L4_X9_Y4', 'L4_X9_Y5'), ('L4_X9_Y5', 'L4_X9_Y6')]","[('L4_X9_Y1', 'L4_X9_Y0'), ('L4_X9_Y2', 'L4_X9_Y1'), ('L4_X9_Y3', 'L4_X9_Y2'), ('L4_X9_Y4', 'L4_X9_Y3'), ('L4_X9_Y5', 'L4_X9_Y4'), ('L4_X9_Y6', 'L4_X9_Y5')]"
82,4,x,10,0,6,6,"[('L4_X10_Y0', 'L4_X10_Y1'), ('L4_X10_Y1', 'L4_X10_Y2'), ('L4_X10_Y2', 'L4_X10_Y3'), ('L4_X10_Y3', 'L4_X10_Y4'), ('L4_X10_Y4', 'L4_X10_Y5'), ('L4_X10_Y5', 'L4_X10_Y6')]","[('L4_X10_Y1', 'L4_X10_Y0'), ('L4_X10_Y2', 'L4_X10_Y1'), ('L4_X10_Y3', 'L4_X10_Y2'), ('L4_X10_Y4', 'L4_X10_Y3'), ('L4_X10_Y5', 'L4_X10_Y4'), ('L4_X10_Y6', 'L4_X10_Y5')]"
83,4,x,11,0,5,5,"[('L4_X11_Y0', 'L4_X11_Y1'), ('L4_X11_Y1', 'L4_X11_Y2'), ('L4_X11_Y2', 'L4_X11_Y3'), ('L4_X11_Y3', 'L4_X11_Y4'), ('L4_X11_Y4', 'L4_X11_Y5')]","[('L4_X11_Y1', 'L4_X11_Y0'), ('L4_X11_Y2', 'L4_X11_Y1'), ('L4_X11_Y3', 'L4_X11_Y2'), ('L4_X11_Y4', 'L4_X11_Y3'), ('L4_X11_Y5', 'L4_X11_Y4')]"
84,4,x,12,0,5,5,"[('L4_X12_Y0', 'L4_X12_Y1'), ('L4_X12_Y1', 'L4_X12_Y2'), ('L4_X12_Y2', 'L4_X12_Y3'), ('L4_X12_Y3', 'L4_X12_Y4'), ('L4_X12_Y4', 'L4_X12_Y5')]","[('L4_X12_Y1', 'L4_X12_Y0'), ('L4_X12_Y2', 'L4_X12_Y1'), ('L4_X12_Y3', 'L4_X12_Y2'), ('L4_X12_Y4', 'L4_X12_Y3'), ('L4_X12_Y5', 'L4_X12_Y4')]"
85,4,x,13,0,2,2,"[('L4_X13_Y2', 'L4_X13_Y3'), ('L4_X13_Y3', 'L4_X13_Y4')]","[('L4_X13_Y3', 'L4_X13_Y2'), ('L4_X13_Y4', 'L4_X13_Y3')]"
86,4,y,0,0,5,5,"[('L4_X10_Y0', 'L4_X11_Y0'), ('L4_X11_Y0', 'L4_X12_Y0'), ('L4_X7_Y0', 'L4_X8_Y0'), ('L4_X8_Y0', 'L4_X9_Y0'), ('L4_X9_Y0', 'L4_X10_Y0')]","[('L4_X10_Y0', 'L4_X9_Y0'), ('L4_X11_Y0', 'L4_X10_Y0'), ('L4_X12_Y0', 'L4_X11_Y0'), ('L4_X8_Y0', 'L4_X7_Y0'), ('L4_X9_Y0', 'L4_X8_Y0')]"
87,4,y,1,0,6,6,"[('L4_X10_Y1', 'L4_X11_Y1'), ('L4_X11_Y1', 'L4_X12_Y1'), ('L4_X6_Y1', 'L4_X7_Y1'), ('L4_X7_Y1', 'L4_X8_Y1'), ('L4_X8_Y1', 'L4_X9_Y1'), ('L4_X9_Y1', 'L4_X10_Y1')]","[('L4_X10_Y1', 'L4_X9_Y1'), ('L4_X11_Y1', 'L4_X10_Y1'), ('L4_X12_Y1', 'L4_X11_Y1'), ('L4_X7_Y1', 'L4_X6_Y1'), ('L4_X8_Y1', 'L4_X7_Y1'), ('L4_X9_Y1', 'L4_X8_Y1')]"
88,4,y,1,1,2,2,"[('L4_X2_Y1', 'L4_X3_Y1'), ('L4_X3_Y1', 'L4_X4_Y1')]","[('L4_X3_Y1', 'L4_X2_Y1'), ('L4_X4_Y1', 'L4_X3_Y1')]"
89,4,y,2,0,13,13,"[('L4_X0_Y2', 'L4_X1_Y2'), ('L4_X10_Y2', 'L4_X11_Y2'), ('L4_X11_Y2', 'L4_X12_Y2'), ('L4_X12_Y2', 'L4_X13_Y2'), ('L4_X1_Y2', 'L4_X2_Y2'), ('L4_X2_Y2', 'L4_X3_Y2'), ('L4_X3_Y2', 'L4_X4_Y2'), ('L4_X4_Y2', 'L4_X5_Y2'), ('L4_X5_Y2', 'L4_X6_Y2'), ('L4_X6_Y2', 'L4_X7_Y2'), ('L4_X7_Y2', 'L4_X8_Y2'), ('L4_X8_Y2', 'L4_X9_Y2'), ('L4_X9_Y2', 'L4_X10_Y2')]","[('L4_X10_Y2', 'L4_X9_Y2'), ('L4_X11_Y2', 'L4_X10_Y2'), ('L4_X12_Y2', 'L4_X11_Y2'), ('L4_X13_Y2', 'L4_X12_Y2'), ('L4_X1_Y2', 'L4_X0_Y2'), ('L4_X2_Y2', 'L4_X1_Y2'), ('L4_X3_Y2', 'L4_X2_Y2'), ('L4_X4_Y2', 'L4_X3_Y2'), ('L4_X5_Y2', 'L4_X4_Y2'), ('L4_X6_Y2', 'L4_X5_Y2'), ('L4_X7_Y2', 'L4_X6_Y2'), ('L4_X8_Y2', 'L4_X7_Y2'), ('L4_X9_Y2', 'L4_X8_Y2')]"
90,4,y,3,0,13,13,"[('L4_X0_Y3', 'L4_X1_Y3'), ('L4_X10_Y3', 'L4_X11_Y3'), ('L4_X11_Y3', 'L4_X12_Y3'), ('L4_X12_Y3', 'L4_X13_Y3'), ('L4_X1_Y3', 'L4_X2_Y3'), ('L4_X2_Y3', 'L4_X3_Y3'), ('L4_X3_Y3', 'L4_X4_Y3'), ('L4_X4_Y3', 'L4_X5_Y3'), ('L4_X5_Y3', 'L4_X6_Y3'), ('L4_X6_Y3', 'L4_X7_Y3'), ('L4_X7_Y3', 'L4_X8_Y3'), ('L4_X8_Y3', 'L4_X9_Y3'), ('L4_X9_Y3', 'L4_X10_Y3')]","[('L4_X10_Y3', 'L4_X9_Y3'), ('L4_X11_Y3', 'L4_X10_Y3'), ('L4_X12_Y3', 'L4_X11_Y3'), ('L4_X13_Y3', 'L4_X12_Y3'), ('L4_X1_Y3', 'L4_X0_Y3'), ('L4_X2_Y3', 'L4_X1_Y3'), ('L4_X3_Y3', 'L4_X2_Y3'), ('L4_X4_Y3', 'L4_X3_Y3'), ('L4_X5_Y3', 'L4_X4_Y3'), ('L4_X6_Y3', 'L4_X5_Y3'), ('L4_X7_Y3', 'L4_X6_Y3'), ('L4_X8_Y3', 'L4_X7_Y3'), ('L4_X9_Y3', 'L4_X8_Y3')]"
91,4,y,4,0,13,13,"[('L4_X0_Y4', 'L4_X1_Y4'), ('L4_X10_Y4', 'L4_X11_Y4'), ('L4_X11_Y4', 'L4_X12_Y4'), ('L4_X12_Y4', 'L4_X13_Y4'), ('L4_X1_Y4', 'L4_X2_Y4'), ('L4_X2_Y4', 'L4_X3_Y4'), ('L4_X3_Y4', 'L4_X4_Y4'), ('L4_X4_Y4', 'L4_X5_Y4'), ('L4_X5_Y4', 'L4_X6_Y4'), ('L4_X6_Y4', 'L4_X7_Y4'), ('L4_X7_Y4', 'L4_X8_Y4'), ('L4_X8_Y4', 'L4_X9_Y4'), ('L4_X9_Y4', 'L4_X10_Y4')]","[('L4_X10_Y4', 'L4_X9_Y4'), ('L4_X11_Y4', 'L4_X10_Y4'), ('L4_X12_Y4', 'L4_X11_Y4'), ('L4_X13_Y4', 'L4_X12_Y4'), ('L4_X1_Y4', 'L4_X0_Y4'), ('L4_X2_Y4', 'L4_X1_Y4'), ('L4_X3_Y4', 'L4_X2_Y4'), ('L4_X4_Y4', 'L4_X3_Y4'), ('L4_X5_Y4', 'L4_X4_Y4'), ('L4_X6_Y4', 'L4_X5_Y4'), ('L4_X7_Y4', 'L4_X6_Y4'), ('L4_X8_Y4', 'L4_X7_Y4'), ('L4_X9_Y4', 'L4_X8_Y4')]"
92,4,y,5,0,12,12,"[('L4_X0_Y5', 'L4_X1_Y5'), ('L4_X10_Y5', 'L4_X11_Y5'), ('L4_X11_Y5', 'L4_X12_Y5'), ('L4_X1_Y5', 'L4_X2_Y5'), ('L4_X2_Y5', 'L4_X3_Y5'), ('L4_X3_Y5', 'L4_X4_Y5'), ('L4_X4_Y5', 'L4_X5_Y5'), ('L4_X5_Y5', 'L4_X6_Y5'), ('L4_X6_Y5', 'L4_X7_Y5'), ('L4_X7_Y5', 'L4_X8_Y5'), ('L4_X8_Y5', 'L4_X9_Y5'), ('L4_X9_Y5', 'L4_X10_Y5')]","[('L4_X10_Y5', 'L4_X9_Y5'), ('L4_X11_Y5', 'L4_X10_Y5'), ('L4_X12_Y5', 'L4_X11_Y5'), ('L4_X1_Y5', 'L4_X0_Y5'), ('L4_X2_Y5', 'L4_X1_Y5'), ('L4_X3_Y5', 'L4_X2_Y5'), ('L4_X4_Y5', 'L4_X3_Y5'), ('L4_X5_Y5', 'L4_X4_Y5'), ('L4_X6_Y5', 'L4_X5_Y5'), ('L4_X7_Y5', 'L4_X6_Y5'), ('L4_X8_Y5', 'L4_X7_Y5'), ('L4_X9_Y5', 'L4_X8_Y5')]"
93,4,y,6,0,6,6,"[('L4_X0_Y6', 'L4_X1_Y6'), ('L4_X1_Y6', 'L4_X2_Y6'), ('L4_X2_Y6', 'L4_X3_Y6'), ('L4_X3_Y6', 'L4_X4_Y6'), ('L4_X4_Y6', 'L4_X5_Y6'), ('L4_X5_Y6', 'L4_X6_Y6')]","[('L4_X1_Y6', 'L4_X0_Y6'), ('L4_X2_Y6', 'L4_X1_Y6'), ('L4_X3_Y6', 'L4_X2_Y6'), ('L4_X4_Y6', 'L4_X3_Y6'), ('L4_X5_Y6', 'L4_X4_Y6'), ('L4_X6_Y6', 'L4_X5_Y6')]"
94,4,y,6,1,2,2,"[('L4_X8_Y6', 'L4_X9_Y6'), ('L4_X9_Y6', 'L4_X10_Y6')]","[('L4_X10_Y6', 'L4_X9_Y6'), ('L4_X9_Y6', 'L4_X8_Y6')]"
